subject,modality,task,picture,accuracy,age,condition,Response Type
P13,spoken,priming,Picture 4,1,17.25,PrimeSpoken,S
P13,spoken,priming,Picture 5,0,17.25,PrimeSpoken,N
P14,spoken,priming,Picture 1,1,17.75,PrimeSpoken,S
P14,spoken,priming,Picture 2,0,17.75,PrimeSpoken,IF
P14,spoken,priming,Picture 3,1,17.75,PrimeSpoken,S
P14,spoken,priming,Picture 4,0,17.75,PrimeSpoken,IF
P14,spoken,priming,Picture 5,0,17.75,PrimeSpoken,IF
P16,spoken,priming,Picture 1,1,15.5,PrimeSpoken,S
P16,spoken,priming,Picture 2,1,15.5,PrimeSpoken,S
P16,spoken,priming,Picture 3,1,15.5,PrimeSpoken,S
P16,spoken,priming,Picture 4,1,15.5,PrimeSpoken,S
P16,spoken,priming,Picture 5,1,15.5,PrimeSpoken,S
P17,spoken,priming,Picture 1,1,15,PrimeSpoken,S
P17,spoken,priming,Picture 2,1,15,PrimeSpoken,S
P17,spoken,priming,Picture 3,1,15,PrimeSpoken,S
P17,spoken,priming,Picture 4,1,15,PrimeSpoken,S
P17,spoken,priming,Picture 5,1,15,PrimeSpoken,S
P18,spoken,priming,Picture 1,1,17.92,PrimeSpoken,S
P18,spoken,priming,Picture 2,1,17.92,PrimeSpoken,S
P18,spoken,priming,Picture 3,1,17.92,PrimeSpoken,S
P18,spoken,priming,Picture 4,1,17.92,PrimeSpoken,S
P18,spoken,priming,Picture 5,1,17.92,PrimeSpoken,S
P19,spoken,priming,Picture 1,1,16.67,PrimeSpoken,S
P19,spoken,priming,Picture 2,1,16.67,PrimeSpoken,S
P19,spoken,priming,Picture 3,1,16.67,PrimeSpoken,S
P19,spoken,priming,Picture 4,1,16.67,PrimeSpoken,S
P19,spoken,priming,Picture 5,1,16.67,PrimeSpoken,S
P20,spoken,priming,Picture 1,0,15.08,PrimeSpoken,IF
P20,spoken,priming,Picture 2,1,15.08,PrimeSpoken,S
P20,spoken,priming,Picture 3,0,15.08,PrimeSpoken,IF
P20,spoken,priming,Picture 4,0,15.08,PrimeSpoken,IF
P20,spoken,priming,Picture 5,0,15.08,PrimeSpoken,IF
P21,spoken,priming,Picture 1,1,15.33,PrimeSpoken,S
P21,spoken,priming,Picture 2,0,15.33,PrimeSpoken,IF
P21,spoken,priming,Picture 3,1,15.33,PrimeSpoken,S
P21,spoken,priming,Picture 4,0,15.33,PrimeSpoken,IF
P21,spoken,priming,Picture 5,1,15.33,PrimeSpoken,S
P22,spoken,priming,Picture 1,1,16.25,PrimeSpoken,S
P22,spoken,priming,Picture 2,1,16.25,PrimeSpoken,S
P22,spoken,priming,Picture 3,1,16.25,PrimeSpoken,S
P22,spoken,priming,Picture 4,1,16.25,PrimeSpoken,S
P22,spoken,priming,Picture 5,1,16.25,PrimeSpoken,S
P23,spoken,priming,Picture 1,1,17.25,PrimeSpoken,S
P23,spoken,priming,Picture 2,1,17.25,PrimeSpoken,S
P23,spoken,priming,Picture 3,1,17.25,PrimeSpoken,S
P23,spoken,priming,Picture 4,1,17.25,PrimeSpoken,S
P23,spoken,priming,Picture 5,1,17.25,PrimeSpoken,S
P24,spoken,priming,Picture 1,1,17.92,PrimeSpoken,S
P24,spoken,priming,Picture 2,1,17.92,PrimeSpoken,S
P24,spoken,priming,Picture 3,1,17.92,PrimeSpoken,S
P24,spoken,priming,Picture 4,1,17.92,PrimeSpoken,S
P24,spoken,priming,Picture 5,1,17.92,PrimeSpoken,S
P25,spoken,priming,Picture 1,1,17.92,PrimeSpoken,S
P25,spoken,priming,Picture 2,1,17.92,PrimeSpoken,S
P25,spoken,priming,Picture 3,1,17.92,PrimeSpoken,S
P25,spoken,priming,Picture 4,1,17.92,PrimeSpoken,S
P25,spoken,priming,Picture 5,1,17.92,PrimeSpoken,S
P26,spoken,priming,Picture 1,1,15.25,PrimeSpoken,S
P26,spoken,priming,Picture 2,1,15.25,PrimeSpoken,S
P26,spoken,priming,Picture 3,1,15.25,PrimeSpoken,S
P26,spoken,priming,Picture 4,1,15.25,PrimeSpoken,S
P26,spoken,priming,Picture 5,1,15.25,PrimeSpoken,S
P27,spoken,priming,Picture 1,0,17.25,PrimeSpoken,IF
P27,spoken,priming,Picture 2,0,17.25,PrimeSpoken,IF
P27,spoken,priming,Picture 3,0,17.25,PrimeSpoken,IF
P27,spoken,priming,Picture 4,0,17.25,PrimeSpoken,IF
P27,spoken,priming,Picture 5,1,17.25,PrimeSpoken,S
P28,spoken,priming,Picture 1,1,17.17,PrimeSpoken,S
P28,spoken,priming,Picture 2,1,17.17,PrimeSpoken,S
P28,spoken,priming,Picture 3,1,17.17,PrimeSpoken,S
P28,spoken,priming,Picture 4,1,17.17,PrimeSpoken,S
P28,spoken,priming,Picture 5,1,17.17,PrimeSpoken,S
P29,spoken,priming,Picture 1,1,16.58,PrimeSpoken,S
P29,spoken,priming,Picture 2,0,16.58,PrimeSpoken,N
P29,spoken,priming,Picture 3,0,16.58,PrimeSpoken,N
P29,spoken,priming,Picture 4,1,16.58,PrimeSpoken,S
P29,spoken,priming,Picture 5,0,16.58,PrimeSpoken,IF
P30,spoken,priming,Picture 1,1,15.33,PrimeSpoken,S
P30,spoken,priming,Picture 2,1,15.33,PrimeSpoken,S
P30,spoken,priming,Picture 3,1,15.33,PrimeSpoken,S
P30,spoken,priming,Picture 4,1,15.33,PrimeSpoken,S
P30,spoken,priming,Picture 5,1,15.33,PrimeSpoken,S
P31,spoken,priming,Picture 1,1,15.58,PrimeSpoken,S
P31,spoken,priming,Picture 2,1,15.58,PrimeSpoken,S
P31,spoken,priming,Picture 3,1,15.58,PrimeSpoken,S
P31,spoken,priming,Picture 4,1,15.58,PrimeSpoken,S
P31,spoken,priming,Picture 5,1,15.58,PrimeSpoken,S
P32,spoken,priming,Picture 1,1,15.42,PrimeSpoken,S
P32,spoken,priming,Picture 2,1,15.42,PrimeSpoken,S
P32,spoken,priming,Picture 3,1,15.42,PrimeSpoken,S
P32,spoken,priming,Picture 4,1,15.42,PrimeSpoken,S
P32,spoken,priming,Picture 5,1,15.42,PrimeSpoken,S
P01,written,priming,Picture 1,1,15.25,PrimeWritten,S
P01,written,priming,Picture 2,1,15.25,PrimeWritten,S
P01,written,priming,Picture 3,1,15.25,PrimeWritten,S
P01,written,priming,Picture 4,1,15.25,PrimeWritten,S
P01,written,priming,Picture 5,1,15.25,PrimeWritten,S
P02,written,priming,Picture 1,1,15.75,PrimeWritten,S
P02,written,priming,Picture 2,1,15.75,PrimeWritten,S
P02,written,priming,Picture 3,1,15.75,PrimeWritten,S
P02,written,priming,Picture 4,1,15.75,PrimeWritten,S
P02,written,priming,Picture 5,1,15.75,PrimeWritten,S
P03,written,priming,Picture 1,1,16.67,PrimeWritten,S
P03,written,priming,Picture 2,1,16.67,PrimeWritten,S
P03,written,priming,Picture 3,1,16.67,PrimeWritten,S
P03,written,priming,Picture 4,1,16.67,PrimeWritten,S
P03,written,priming,Picture 5,1,16.67,PrimeWritten,S
P04,written,priming,Picture 1,1,16,PrimeWritten,S
P04,written,priming,Picture 2,1,16,PrimeWritten,S
